Plant,Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min pH,Max pH,Moisture (Organic Matter %),Min Moisture (%),Max Moisture (%)
Tomato,18,30,50,70,6.0,7.0,3,30,50
Rose,15,25,40,60,5.5,7.0,4,40,60
Wheat,10,25,30,50,6.0,7.5,2,20,40
Cactus,20,40,10,30,6.0,7.5,1,5,20
Potato,15,20,50,70,4.8,6.5,3,30,50
Carrot,15,25,50,70,5.5,7.0,3,30,50
Lettuce,10,20,60,80,6.0,7.0,4,50,70
Apple,15,25,50,70,5.5,6.5,5,50,75
Banana,20,35,70,90,5.5,7.0,6,60,90
Strawberry,15,25,60,80,5.5,6.5,4,50,70
Blueberry,15,25,70,90,4.5,5.5,5,60,85
Sunflower,18,30,40,60,6.0,7.5,3,30,50
Lavender,15,25,30,50,6.5,7.5,2,20,40
Basil,18,30,50,70,5.5,7.0,3,30,50
Mint,15,25,60,80,6.0,7.5,4,50,70
Corn,18,30,50,70,5.5,7.0,3,30,50
Rice,20,35,70,90,5.0,6.5,5,60,85
Pineapple,20,30,60,80,4.5,6.5,3,40,60
Orange,15,30,50,70,6.0,7.5,5,50,75
Grape,15,30,50,70,5.5,7.0,4,40,65
Mango,20,35,50,80,5.5,7.0,5,50,75
Peach,15,30,50,70,6.0,7.5,4,40,65
Pomegranate,18,35,40,60,5.5,7.5,3,30,50
Coconut,22,38,70,90,5.5,7.0,6,60,90
Sugarcane,20,35,60,90,6.0,7.5,6,60,85
Avocado,18,30,60,80,5.5,7.0,5,50,75
Coffee,15,30,60,80,6.0,6.5,4,40,65
Tea,12,30,70,90,4.5,6.0,4,50,75
Peanut,18,30,40,60,5.5,7.5,3,30,50
Cotton,20,35,30,50,5.5,7.5,2,20,40
Almond,15,30,40,60,6.0,7.5,3,30,50
Chili Pepper,18,35,50,70,5.5,7.0,4,40,65
Pumpkin,15,30,50,80,5.5,7.5,4,40,70
Spinach,10,25,60,80,6.0,7.5,4,50,70
Broccoli,10,25,50,80,6.0,7.0,4,50,70
Onion,12,30,40,70,6.0,7.0,3,30,55
Garlic,10,25,40,70,6.0,7.5,3,30,55
Ginger,18,30,60,90,5.5,6.5,4,50,75
Turmeric,20,35,60,90,5.0,6.5,4,50,75
Vanilla,18,30,70,90,6.0,7.5,5,50,85
Cherry,10,25,50,70,6.0,7.5,4,40,65
Pear,10,30,50,80,6.0,7.5,4,40,70
Plum,10,30,50,70,6.0,7.5,4,40,65
Cranberry,10,25,70,90,4.5,5.5,5,60,85
Kiwi,15,30,60,80,5.5,7.0,5,50,75
Guava,15,30,50,80,5.5,7.0,5,50,75
Fig,15,35,40,70,5.5,7.5,4,40,65
Blackberry,15,30,60,80,5.5,7.0,4,50,75
Raspberry,15,30,60,80,5.5,7.0,4,50,75
Walnut,10,25,30,50,6.0,7.5,3,30,50
Hazelnut,10,25,40,60,6.0,7.5,3,30,50
Persimmon,15,30,40,70,5.5,7.5,4,40,65
Olive,15,30,30,50,6.0,8.0,3,20,40
Papaya,20,35,60,90,5.5,6.5,5,50,85
Jackfruit,20,35,70,90,5.5,7.0,5,60,90
Passion Fruit,15,30,60,80,5.5,7.0,4,50,75
Dragon Fruit,20,35,50,80,5.5,7.5,4,40,70
Tamarind,20,35,50,80,5.5,7.0,4,40,70
Pistachio,15,30,30,50,6.0,7.5,3,20,40
Macadamia,15,30,40,60,6.0,7.5,4,30,50
Rubber,20,35,60,90,4.5,6.5,6,50,85
Mahogany,20,35,50,80,5.5,7.0,5,40,75
Eucalyptus,15,35,40,70,5.5,7.5,4,30,65
Date Palm,25,40,20,40,6.0,8.0,3,10,30
