Plant,Min pH,Max pH,Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Soil Texture,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Depth (cm),Soil Aeration,Sunlight,Wind Tolerance,Frost Tolerance
Tomato,6.0,7.0,18,30,50,70,Loamy,High,Medium,High,3,30,Good,Full Sun,Medium,No
Rose,5.5,7.0,15,25,40,60,Loamy,Medium,High,Medium,4,40,Good,Full Sun,Low,No
Wheat,6.0,7.5,10,25,30,50,Loamy,High,Medium,Medium,2,20,Moderate,Full Sun,High,Yes
Cactus,6.0,7.5,20,40,10,30,Sandy,Low,Low,Low,1,10,Poor,Full Sun,High,Yes
Potato,4.8,6.5,15,20,50,70,Loamy,Medium,High,Medium,3,30,Good,Full Sun,Medium,No
Carrot,5.5,7.0,15,25,50,70,Loamy,Medium,Medium,Medium,3,25,Good,Full Sun,Low,No
Lettuce,6.0,7.0,10,20,60,80,Loamy,Medium,High,Medium,4,20,Good,Partial Shade,Low,No
Apple,5.5,6.5,15,25,50,70,Loamy,High,Medium,High,5,50,Good,Full Sun,Medium,Yes
Banana,5.5,7.0,20,35,70,90,Loamy,High,High,High,6,60,Good,Full Sun,Low,No
Strawberry,5.5,6.5,15,25,60,80,Loamy,Medium,High,Medium,4,20,Good,Full Sun,Low,No
Blueberry,4.5,5.5,15,25,70,90,Loamy,Medium,High,High,5,30,Good,Full Sun,Low,Yes
Sunflower,6.0,7.5,18,30,40,60,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,High,No
Lavender,6.5,7.5,15,25,30,50,Loamy,Low,Medium,Low,2,20,Good,Full Sun,High,Yes
Basil,5.5,7.0,18,30,50,70,Loamy,Medium,Medium,Medium,3,20,Good,Full Sun,Low,No
Mint,6.0,7.5,15,25,60,80,Loamy,Medium,Medium,Medium,4,20,Good,Partial Shade,Low,No
Corn,5.5,7.0,18,30,50,70,Loamy,High,Medium,High,3,40,Good,Full Sun,High,No
Rice,5.0,6.5,20,35,70,90,Loamy,High,High,High,5,50,Good,Full Sun,Low,No
